nombre,categoria,sku,codigo_barras,precio_bs,precio_usd,costo_bs,costo_usd,stock_minimo
ANILLO BERA      150  0.75    BARATO,TODO MOTO 668,TM668-ANI95,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  0.75    BUENO,TODO MOTO 668,TM668-ANE34,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  0.75 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE34,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  1.00    BARATO,TODO MOTO 668,TM668-ANI96,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  1.00    BUENO,TODO MOTO 668,TM668-ANE35,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150  STD CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE33,,45.33,1.81,36.26,1.45,1
ANILLO BERA      150 1.00 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE35,,45.33,1.81,36.26,1.45,1
ANILLO DT     200       0.25   B&C CALIDA,TODO MOTO 668,TM668-A70,,43.75,1.75,35.00,1.40,1
ANILLO DT     200       STD   B&C CALIDA,TODO MOTO 668,TM668-ANI12J,,45.37,1.81,36.30,1.45,1
ANILLO HAOJUE 125  0.25   B&C CALIDA,TODO MOTO 668,TM668-A212,,43.75,1.75,35.00,1.40,1
ANILLO HAOJUE 125  0.75   B&C CALIDAD,TODO MOTO 668,TM668-ANE09,,45.37,1.81,36.30,1.45,1
ANILLO HAOJUE 125  1.00   B&C CALIDAD,TODO MOTO 668,TM668-A25,,43.75,1.75,35.00,1.40,1
ANILLO HAOJUE 125  STD   B&C CALIDA,TODO MOTO 668,TM668-A221,,32.43,1.30,25.95,1.04,1
ANILLO HAOUJE 125 0.50 BUENO,TODO MOTO 668,TM668-ANE08,,45.37,1.81,36.30,1.45,1
ANILLO HAOUJE 125 0.50 BUYCHASE  Y SCOOTER 125,TODO MOTO 668,TM668-A95,,32.43,1.30,25.95,1.04,1
ANILLO HAOUJE 125 STD BUENO,TODO MOTO 668,TM668-ANE06,,43.61,1.74,34.89,1.40,1
ANILLO HORSE    150  0.50    BARATO,TODO MOTO 668,TM668-ANI89,,43.61,1.74,34.89,1.40,1
ANILLO HORSE    150  0.75    BARATO,TODO MOTO 668,TM668-ANI90,,36.32,1.45,29.06,1.16,1
ANILLO HORSE    150  0.75    BUENO,TODO MOTO 668,TM668-ANE29,,38.89,1.56,31.11,1.24,1
ANILLO HORSE    150  1.00    BARATO,TODO MOTO 668,TM668-ANI91,,36.32,1.45,29.06,1.16,1
ANILLO HORSE    150  1.00    BUENO,TODO MOTO 668,TM668-ANE30,,45.37,1.81,36.30,1.45,1
ANILLO HORSE    150  1.00 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE30,,38.89,1.56,31.11,1.24,1
ANILLO HORSE    150  STD    BARATO,TODO MOTO 668,TM668-ANI87,,37.50,1.50,30.00,1.20,1
ANILLO HORSE    150  STD  (LIDER)  BUENO,TODO MOTO 668,TM668-B156,,38.92,1.56,31.14,1.25,1
ANILLO HORSE    150  STD(EXITO),TODO MOTO 668,TM668-L70,,38.89,1.56,31.11,1.24,1
ANILLO HORSE    150  STD(LIDER),TODO MOTO 668,TM668-B156,,38.92,1.56,31.14,1.25,1
ANILLO HORSE    150 0.25 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE27,,38.89,1.56,31.11,1.24,1
ANILLO HORSE    150 0.50 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE28,,50.64,2.03,40.51,1.62,1
ANILLO HORSE    150 0.75 CALIDAD BUY CHASE,TODO MOTO 668,TM668-ANE29,,50.64,2.03,40.51,1.62,1
ANILLO HORSE    150 STD CALIDAD BUY CHASE,TODO MOTO 668,TM668-A6L3,,45.33,1.81,36.26,1.45,1
ANILLO JAGGUAR 150 BARATO  0.25,TODO MOTO 668,TM668-ANI83,,45.33,1.81,36.26,1.45,1
ANILLO JAGUAR 150 BUENO 0.50,TODO MOTO 668,TM668-ANI7,,43.77,1.75,35.01,1.40,1
ANILLO JAGUAR 150 BUENO 1.00,TODO MOTO 668,TM668-ANE25,,45.37,1.81,36.30,1.45,1
ANILLO JOG 50 40 MM  0.25   BUENO,TODO MOTO 668,TM668-ANI23,,45.37,1.81,36.30,1.45,1
ANILLO JOG 50 40 MM  0.50   B&C CALIDAD,TODO MOTO 668,TM668-A172BH,,43.75,1.75,35.00,1.40,1
ANILLO JOG 50 40 MM  0.50   BUENO,TODO MOTO 668,TM668-ANI24H,,45.34,1.81,36.27,1.45,1
ANILLO JOG 50 40 MM  0.75   BUENO,TODO MOTO 668,TM668-ANI25,,43.75,1.75,35.00,1.40,1
ANILLO JOG 50 40 MM  1.50   BARATO,TODO MOTO 668,TM668-ANI44,,38.76,1.55,31.00,1.24,1
ANILLO JOG 50 40 MM  1.50   BUENO,TODO MOTO 668,TM668-ANI27,,43.75,1.75,35.00,1.40,1
ANILLO JOG 50 40 MM  2.00   BUENO,TODO MOTO 668,TM668-ANI28,,45.34,1.81,36.27,1.45,1
ANILLO JOG 50 40 MM  2.50   BARATO,TODO MOTO 668,TM668-A149L,,43.75,1.75,35.00,1.40,1
ANILLO JOG 50 40 MM  2.50   BUENO,TODO MOTO 668,TM668-A172C,,45.34,1.81,36.27,1.45,1
ANILLO JOG 50 40 MM  3.00   BUENO,TODO MOTO 668,TM668-A172D,,38.92,1.56,31.14,1.25,1
ANILLO JOG 50 40 MM  3.50   BARATO,TODO MOTO 668,TM668-AN667,,43.75,1.75,35.00,1.40,1
ANILLO JOG 50 40MM    0.25   BARATO,TODO MOTO 668,TM668-ANI63J,,45.34,1.81,36.27,1.45,1
ANILLO JOG 50 47MM BUENO,TODO MOTO 668,TM668-AJ4,,38.92,1.56,31.14,1.25,1
ANILLO JOG 50 48MM BUENO,TODO MOTO 668,TM668-AJ5,,45.34,1.81,36.27,1.45,1
ANILLO JOG 50 49MM BUENO,TODO MOTO 668,TM668-AJ6,,38.76,1.55,31.00,1.24,1
ANILLO JOG 50 50MM BUENO,TODO MOTO 668,TM668-AJ7,,45.34,1.81,36.27,1.45,1
ANILLO JOG 50 51MM BUENO,TODO MOTO 668,TM668-AJ8,,50.64,2.03,40.51,1.62,1
ANILLO JOG 50 52MM BUENO,TODO MOTO 668,TM668-AJ9,,50.64,2.03,40.51,1.62,1
ANILLO JOG 50 53MM BUENO,TODO MOTO 668,TM668-AJ10,,50.64,2.03,40.51,1.62,1
ANILLO KLR650 STD,TODO MOTO 668,TM668-AK650,,38.92,1.56,31.14,1.25,1
ANILLO MATRIX   150   0.50   B&C CALIDAD,TODO MOTO 668,TM668-A58,,38.92,1.56,31.14,1.25,1
ANILLO MATRIX   150   0.75   B&C CALIDAD,TODO MOTO 668,TM668-A59,,45.50,1.82,36.40,1.46,1
ANILLO MATRIX   150   1.00   B&C CALIDAD,TODO MOTO 668,TM668-A60,,45.37,1.81,36.30,1.45,1
ANILLO MATRIX   150   STD   B&C CALIDA,TODO MOTO 668,TM668-A56,,45.37,1.81,36.30,1.45,1
ANILLO OUTLOC   150    0.25   B&C CALIDAD,TODO MOTO 668,TM668-A42,,45.37,1.81,36.30,1.45,1
ANILLO OUTLOC   150    0.50   B&C CALIDAD,TODO MOTO 668,TM668-A43,,45.37,1.81,36.30,1.45,1
ANILLO OUTLOC   150    0.75   B&C CALIDAD,TODO MOTO 668,TM668-A44,,45.41,1.82,36.32,1.45,1
ANILLO OUTLOC   150    1.00   B&C CALIDAD,TODO MOTO 668,TM668-A45,,52.19,2.09,41.75,1.67,1
ANILLO OUTLOC   150    STD   B&C CALIDA,TODO MOTO 668,TM668-A41H,,45.41,1.82,36.32,1.45,1
ANILLO SCOOTER    150    1.00  BUENO,TODO MOTO 668,TM668-ANE20,,52.19,2.09,41.75,1.67,1
ANILLO SCOOTER   150    0.50   B&C CALIDAD,TODO MOTO 668,TM668-A28,,84.40,3.38,67.52,2.70,1
ANILLO SCOOTER   150    0.75     BARATO,TODO MOTO 668,TM668-ANI80,,84.40,3.38,67.52,2.70,1
ANILLO SCOOTER   150    0.75   B&C CALIDAD,TODO MOTO 668,TM668-A29,,42.72,1.71,34.18,1.37,1
ANILLO SCOOTER   150    1.00     BARATO,TODO MOTO 668,TM668-ANI81,,42.72,1.71,34.18,1.37,1
ANILLO SCOOTER   150    1.00   B&C CALIDAD,TODO MOTO 668,TM668-A30,,77.78,3.11,62.22,2.49,1
ANILLO SCOOTER   150    STD     BARATO,TODO MOTO 668,TM668-ANI77,,42.72,1.71,34.18,1.37,1
ANILLO SCOOTER   150    STD     BUENO,TODO MOTO 668,TM668-ANE16,,77.78,3.11,62.22,2.49,1
ANILLO SCOOTER   150    STD   B&C CALIDA,TODO MOTO 668,TM668-A26,,42.72,1.71,34.18,1.37,1
ANILLO TUCAN 110   0.50   B&C CALIDA,TODO MOTO 668,TM668-A48,,77.78,3.11,62.22,2.49,1
ANILLO TUCAN 110   0.75      BARATO,TODO MOTO 668,TM668-ANI60,,90.82,3.63,72.65,2.91,1
ANILLO TUCAN 110   0.75   B&C CALIDAD,TODO MOTO 668,TM668-A49,,91.44,3.66,73.15,2.93,1
ANILLO TUCAN 110   1.00      BARATO,TODO MOTO 668,TM668-ANI61,,81.25,3.25,65.00,2.60,1
ANILLO TUCAN 110   1.00      BUENO,TODO MOTO 668,TM668-ANI38,,90.66,3.63,72.53,2.90,1
ANILLO TUCAN 110   1.00   B&C CALIDAD,TODO MOTO 668,TM668-A50,,81.25,3.25,65.00,2.60,1
ANILLO TUCAN 110   STD   B&C CALIDA,TODO MOTO 668,TM668-A46,,42.72,1.71,34.18,1.37,1
ANILLO X1 BERA 125  0.75     BARATO,TODO MOTO 668,TM668-ANI33,,90.82,3.63,72.65,2.91,1
ANILLO X1 BERA 125  0.75   B&C CALIDAD,TODO MOTO 668,TM668-A54,,90.67,3.63,72.54,2.90,1
ANILLO X1 BERA 125  1.00     BARATO,TODO MOTO 668,TM668-ANI68,,42.72,1.71,34.18,1.37,1
ANILLO X1 BERA 125  1.00   B&C CALIDAD,TODO MOTO 668,TM668-A55,,90.74,3.63,72.59,2.90,1
ANILLO X1 BERA 125 0.25 CALIDAD BUY CHASE,TODO MOTO 668,TM668-AS28,,42.72,1.71,34.18,1.37,1
ANILLO XT600 STD,TODO MOTO 668,TM668-ANXT6,,90.74,3.63,72.59,2.90,1
ANTIRRUIDOS DE CALIPE ACERO  HORSE/ SCOOTER 150 1*10 PRECIO,TODO MOTO 668,TM668-AN187,,64.71,2.59,51.77,2.07,1
ANTIRRUIDOS DE CALIPE HIERRO   GN 125 Y OWEN 150 2 PSA 1*10 PRECIO,TODO MOTO 668,TM668-A01,,51.85,2.07,41.48,1.66,1
ANTIRRUIDOS DE CALIPE HIERRO GN 125 Y OWEN 1*50 PRECIO,TODO MOTO 668,TM668-A01,,45.41,1.82,36.32,1.45,1
ANTIRRUIDOS DE VARIADOR  MATRIX ELEGANCE Y OULOCK,TODO MOTO 668,TM668-AM6,,52.19,2.09,41.75,1.67,1
ANTIRRUIDOS DE VARIADOR DE SCOOTER 150 [BOSA *10] PRECIO,TODO MOTO 668,TM668-A013,,51.85,2.07,41.48,1.66,1
ARANAL HORSE 150,TODO MOTO 668,TM668-AR96,,45.34,1.81,36.27,1.45,1
ARBOL DE  LEVA HAOUJE 125 SCOOTER 125 CALIDAD BUY CHASE,TODO MOTO 668,TM668-A64,,45.41,1.82,36.32,1.45,1
ARBOL DE  LEVA R1 200 BARATO,TODO MOTO 668,TM668-AT66,,52.19,2.09,41.75,1.67,1
ARBOL DE LEVA DR650,TODO MOTO 668,TM668-GH14,,51.85,2.07,41.48,1.66,1
ARBOL DE LEVA DT 200 CALIDAD BUY CHASE,TODO MOTO 668,TM668-A065,,45.41,1.82,36.32,1.45,1
ARBOL DE LEVA DT 200 MARCA CAILI,TODO MOTO 668,TM668-AR200DT,,52.19,2.09,41.75,1.67,1
ARBOL DE LEVA GN 125  CALIDAD  BUY &CHASE,TODO MOTO 668,TM668-A122,,51.85,2.07,41.48,1.66,1
ARBOL DE LEVA HJ150-9 COOL,TODO MOTO 668,TM668-A95A,,42.72,1.71,34.18,1.37,1
